車次,行駛日,左營,台南,嘉義,雲林,彰化,台中,苗栗,新竹,桃園,板橋,台北,南港
0156,------7,19:55,--:--,--:--,--:--,--:--,20:39,--:--,--:--,--:--,21:21,21:31,21:40
0684,------7,20:00,20:13,20:32,--:--,--:--,21:00,--:--,21:25,21:38,21:51,22:02,22:10
1258,1234567,20:15,20:28,--:--,--:--,--:--,21:08,--:--,--:--,--:--,21:47,21:57,22:05
0858,1234567,20:25,20:41,21:00,21:12,21:24,21:36,21:56,22:08,22:20,22:32,22:42,22:50
1688,------7,20:35,20:48,21:08,--:--,--:--,21:32,--:--,21:57,22:11,22:25,22:36,22:45
1330,------7,20:45,20:58,21:19,21:31,21:42,21:54,--:--,--:--,22:27,--:--,22:47,22:55
0160,------7,20:55,--:--,--:--,--:--,--:--,21:39,--:--,--:--,--:--,22:21,22:31,22:40
1692,1234567,21:00,21:13,21:32,--:--,--:--,22:00,--:--,22:25,22:38,22:51,23:02,23:10
1860,1234567,21:05,21:19,21:38,21:50,22:01,22:13,22:32,22:45,22:58,23:11,23:22,23:30
1260,1234567,21:35,21:48,--:--,--:--,--:--,22:28,--:--,--:--,--:--,23:07,23:17,23:25
0596,1234567,22:25,22:38,22:57,23:09,23:19,23:30,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
