車次,行駛日,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
1238,1234567,17:05,16:57,16:47,--:--,--:--,--:--,16:08,--:--,--:--,--:--,15:28,15:15
0667,----5--,17:10,17:21,17:29,17:43,17:56,--:--,18:25,--:--,--:--,18:50,19:07,19:20
0654,------7,17:10,17:02,16:51,16:38,16:25,--:--,16:00,--:--,--:--,15:32,15:13,15:00
0149,----5--,17:20,17:31,17:39,--:--,--:--,--:--,18:20,--:--,--:--,--:--,--:--,19:05
0669,12345--,17:35,17:46,17:55,18:10,18:22,--:--,18:48,--:--,--:--,19:14,19:33,19:45
1245,1234567,17:40,17:51,17:59,--:--,--:--,--:--,18:40,--:--,--:--,--:--,19:18,19:30
0140,------7,17:40,17:31,17:21,--:--,--:--,--:--,16:39,--:--,--:--,--:--,--:--,15:55
0838,1234567,17:50,17:42,17:32,17:20,17:08,16:56,16:36,16:24,16:12,16:00,15:41,15:25
0849,1234567,18:00,18:11,18:19,18:34,18:47,18:58,19:17,19:30,19:41,19:55,20:13,20:25
0242,1234567,18:05,17:57,17:47,--:--,--:--,--:--,17:08,--:--,--:--,--:--,16:28,16:15
0673,12345--,18:10,18:21,18:29,18:43,18:56,--:--,19:25,--:--,--:--,19:50,20:07,20:20
0660,------7,18:10,18:02,17:51,17:38,17:25,--:--,17:00,--:--,--:--,16:32,16:13,16:00
0153,----5--,18:20,18:31,18:39,--:--,--:--,--:--,19:20,--:--,--:--,--:--,--:--,20:05
1549,----5--,18:25,18:36,18:46,19:01,19:12,19:25,19:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0675,12345--,18:35,18:46,18:55,19:10,19:22,--:--,19:48,--:--,--:--,20:14,20:33,20:45
0249,1234567,18:40,18:51,18:59,--:--,--:--,--:--,19:40,--:--,--:--,--:--,20:18,20:30
0144,1234567,18:40,18:31,18:21,--:--,--:--,--:--,17:39,--:--,--:--,--:--,--:--,16:55
0842,1234567,18:50,18:42,18:32,18:20,18:08,17:56,17:36,17:24,17:12,17:00,16:41,16:25
0853,1234567,19:00,19:11,19:19,19:34,19:47,19:58,20:17,20:30,20:41,20:55,21:13,21:25
1246,1234567,19:05,18:57,18:47,--:--,--:--,--:--,18:08,--:--,--:--,--:--,17:28,17:15
1679,----5--,19:10,19:21,19:29,19:43,19:56,--:--,20:25,--:--,--:--,20:50,21:07,21:20
0666,1234–7,19:10,19:02,18:51,18:38,18:25,--:--,18:00,--:--,--:--,17:32,17:13,17:00
0157,----5--,19:20,19:31,19:39,--:--,--:--,--:--,20:20,--:--,--:--,--:--,--:--,21:05
0681,----5--,19:35,19:46,19:55,20:10,20:22,--:--,20:48,--:--,--:--,21:14,21:33,21:45
1253,1234567,19:40,19:51,19:59,--:--,--:--,--:--,20:40,--:--,--:--,--:--,21:18,21:30
0148,------7,19:40,19:31,19:21,--:--,--:--,--:--,18:39,--:--,--:--,--:--,--:--,17:55
0670,------7,19:45,19:36,19:25,19:11,18:57,--:--,18:32,--:--,--:--,18:08,17:48,17:35
0846,1234567,19:50,19:42,19:32,19:20,19:08,18:56,18:36,18:24,18:12,18:00,17:41,17:25
0857,1234567,20:00,20:11,20:19,20:34,20:47,20:58,21:17,21:30,21:41,21:55,22:13,22:25
1250,1234567,20:05,19:57,19:47,--:--,--:--,--:--,19:08,--:--,--:--,--:--,18:28,18:15
0672,------7,20:10,20:02,19:51,19:38,19:25,--:--,19:00,--:--,--:--,18:32,18:13,18:00
1257,1234567,20:40,20:51,20:59,--:--,--:--,--:--,21:40,--:--,--:--,--:--,22:18,22:30
0152,------7,20:40,20:31,20:21,--:--,--:--,--:--,19:39,--:--,--:--,--:--,--:--,18:55
0676,------7,20:45,20:36,20:25,20:11,19:57,--:--,19:32,--:--,--:--,19:08,18:48,18:35
0850,1234567,20:50,20:42,20:32,20:20,20:08,19:56,19:36,19:24,19:12,19:00,18:41,18:25
1326,------7,20:55,20:47,--:--,20:27,--:--,--:--,19:53,19:41,19:31,19:19,18:58,18:45
1335,----5--,21:00,21:11,--:--,21:30,--:--,--:--,22:04,22:16,22:27,22:40,22:58,23:10
1863,1234567,21:05,21:16,21:24,21:39,21:51,22:03,22:21,22:23,22:44,22:57,23:18,23:30
