車次,行駛日,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
1679,----5--,19:10,19:21,19:29,19:43,19:56,--:--,20:25,--:--,--:--,20:50,21:07,21:20
0157,1234567,19:20,19:31,19:39,--:--,--:--,--:--,20:20,--:--,--:--,--:--,--:--,21:05
1553,----5--,19:25,19:36,19:46,20:01,20:12,20:25,20:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0681,1234567,19:35,19:46,19:55,20:10,20:22,--:--,20:48,--:--,--:--,21:14,21:33,21:45
1253,----5-7,19:40,19:51,19:59,--:--,--:--,--:--,20:40,--:--,--:--,--:--,21:18,21:30
0857,1234567,20:00,20:11,20:19,20:34,20:47,20:58,21:17,21:30,21:41,21:55,22:13,22:25
0161,1234567,20:20,20:31,20:39,--:--,--:--,--:--,21:20,--:--,--:--,--:--,--:--,22:05
0687,1234567,20:35,20:46,20:55,21:10,21:22,--:--,21:48,--:--,--:--,22:14,22:33,22:45
1257,----5-7,20:40,20:51,20:59,--:--,--:--,--:--,21:40,--:--,--:--,--:--,22:18,22:30
0861,1234567,21:00,21:11,21:19,21:34,21:47,21:58,22:17,22:30,22:41,22:55,23:13,23:25
0165,1234567,21:20,21:31,21:39,--:--,--:--,--:--,22:20,--:--,--:--,--:--,--:--,23:05
0693,1234567,21:30,21:41,21:50,22:05,22:17,--:--,22:43,--:--,--:--,23:09,23:28,23:40
0333,1234567,21:45,21:56,--:--,22:15,--:--,--:--,22:49,23:01,23:12,23:24,23:42,23:55
0295,1234567,22:05,22:16,--:--,22:35,--:--,--:--,23:07,--:--,--:--,23:30,23:48,23:59
0565,1234567,22:15,22:26,22:35,22:48,23:00,23:12,23:29,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0567,1234567,22:50,23:00,23:08,23:21,23:32,23:43,23:59,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
