車次,行駛日,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
0833,1234567,14:00,14:11,14:19,14:34,14:47,14:58,15:17,15:30,15:41,15:55,16:13,16:25
0636,1234567,14:10,14:02,13:51,13:38,13:25,--:--,13:00,--:--,--:--,12:32,12:13,12:00
0137,1234567,14:20,14:31,14:39,--:--,--:--,--:--,15:20,--:--,--:--,--:--,--:--,16:05
0651,1234567,14:35,14:46,14:55,15:10,15:22,--:--,15:48,--:--,--:--,16:14,16:33,16:45
0128,1234567,14:40,14:31,14:21,--:--,--:--,--:--,13:39,--:--,--:--,--:--,--:--,12:55
0826,1234567,14:50,14:42,14:32,14:20,14:08,13:56,13:36,13:24,13:12,13:00,12:41,12:25
0837,1234567,15:00,15:11,15:19,15:34,15:47,15:58,16:17,16:30,16:41,16:55,17:13,17:25
0642,1234567,15:10,15:02,14:51,14:38,14:25,--:--,14:00,--:--,--:--,13:32,13:13,13:00
0141,1234567,15:20,15:31,15:39,--:--,--:--,--:--,16:20,--:--,--:--,--:--,--:--,17:05
0657,1234567,15:35,15:46,15:55,16:10,16:22,--:--,16:48,--:--,--:--,17:14,17:33,17:45
1237,----5--,15:40,15:51,15:59,--:--,--:--,--:--,16:40,--:--,--:--,--:--,17:18,17:30
0132,1234567,15:40,15:31,15:21,--:--,--:--,--:--,14:39,--:--,--:--,--:--,--:--,13:55
0830,1234567,15:50,15:42,15:32,15:20,15:08,14:56,14:36,14:24,14:12,14:00,13:41,13:25
0841,1234567,16:00,16:11,16:19,16:34,16:47,16:58,17:17,17:30,17:41,17:55,18:13,18:25
1234,------7,16:05,15:57,15:47,--:--,--:--,--:--,15:08,--:--,--:--,--:--,14:28,14:15
0661,----5--,16:10,16:21,16:29,16:43,16:56,--:--,17:25,--:--,--:--,17:50,18:07,18:20
0648,1234567,16:10,16:02,15:51,15:38,15:25,--:--,15:00,--:--,--:--,14:32,14:13,14:00
0145,1234567,16:20,16:31,16:39,--:--,--:--,--:--,17:20,--:--,--:--,--:--,--:--,18:05
