車次,行駛日 ,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
0857,1234567,2000,2011,2019,2034,2047,2058,2117,2130,2141,2155,2213,2225
1685,----567,2010,2021,2029,2043,2056,----,2125,----,----,2150,2207,2220
0161,1234567,2020,2031,2039,----,----,----,2120,----,----,----,----,2205
1557,----5--,2025,2036,2046,2101,2112,2125,2142,    ,    ,    ,    ,    
0687,1234567,2035,2046,2055,2101,2122,----,2148,----,----,2214,2233,2245
1257,----5-7,2040,2051,2059,----,----,----,2140,----,----,----,2218,2230
0861,1234567,2100,2111,2119,2134,2147,2158,2217,2230,2241,2255,2313,2325
0165,1234567,2120,2131,2139,----,----,----,2220,----,----,----,----,2305
0693,1234567,2130,2141,2150,2205,2217,----,2243,----,----,2309,2328,2340
0333,1234567,2145,2156,----,2215,----,----,2249,2301,2312,2324,2342,2355
1563,----5-7,2155,2205,2214,2227,2238,2252,2310,    ,    ,    ,    ,    
0295,1234567,2205,2216,----,2235,----,----,2307,----,----,2330,2348,2359
0565,1234567,2215,2226,2235,2248,2300,2312,2329,    ,    ,    ,    ,    
0567,1234567,2250,2300,2308,2321,2332,2343,2359,    ,    ,    ,    ,    
