車次,行駛日,左營,台南,嘉義,雲林,彰化,台中,苗栗,新竹,桃園,板橋,台北,南港
0660,1234567,16:00,16:13,16:32,--:--,--:--,17:00,--:--,17:25,17:38,17:51,18:02,18:10
1550,----5-7,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,17:04,17:24,17:39,17:51,18:05,18:16,18:25
0242,12345-7,16:15,16:28,--:--,--:--,--:--,17:08,--:--,--:--,--:--,17:47,17:57,18:05
0842,1234567,16:25,16:41,17:00,17:12,17:24,17:36,17:56,18:08,18:20,18:32,18:42,18:50
0664,--34567,16:35,16:48,17:08,--:--,--:--,17:32,--:--,17:57,18:11,18:25,18:36,18:45
0144,1234567,16:55,--:--,--:--,--:--,--:--,17:39,--:--,--:--,--:--,18:21,18:31,18:40
0666,1234567,17:00,17:13,17:32,--:--,--:--,18:00,--:--,18:25,18:38,18:51,19:02,19:10
1554,----5-7,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,18:04,18:24,18:39,18:51,19:05,19:16,19:25
1246,12345-7,17:15,17:28,--:--,--:--,--:--,18:08,--:--,--:--,--:--,18:47,18:57,19:05
0846,1234567,17:25,17:41,18:00,18:12,18:24,18:36,18:56,19:08,19:20,19:32,19:42,19:50
0670,---45-7,17:35,17:48,18:08,--:--,--:--,18:32,--:--,18:57,19:11,19:25,19:36,19:45
0148,1234567,17:55,--:--,--:--,--:--,--:--,18:39,--:--,--:--,--:--,19:21,19:31,19:40
0672,1234567,18:00,18:13,18:32,--:--,--:--,19:00,--:--,19:25,19:38,19:51,20:02,20:10
1558,------7,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,19:04,19:24,19:39,19:51,20:05,20:16,20:25
1250,----5-7,18:15,18:28,--:--,--:--,--:--,19:08,--:--,--:--,--:--,19:47,19:57,20:05
0850,1234567,18:25,18:41,19:00,19:12,19:24,19:36,19:56,20:08,20:20,20:32,20:42,20:50
0676,---45-7,18:35,18:48,19:08,--:--,--:--,19:32,--:--,19:57,20:11,20:25,20:36,20:45
1326,------7,18:45,18:58,19:19,19:31,19:41,19:53,--:--,--:--,20:27,--:--,20:47,20:55
0152,1234567,18:55,--:--,--:--,--:--,--:--,19:39,--:--,--:--,--:--,20:21,20:31,20:40
0678,1234567,19:00,19:13,19:32,--:--,--:--,20:00,--:--,20:25,20:38,20:51,21:02,21:10
1562,------7,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,20:04,20:24,20:39,20:51,21:05,21:16,21:25
1254,----5-7,19:15,19:28,--:--,--:--,--:--,20:08,--:--,--:--,--:--,20:47,20:57,21:05
0854,1234567,19:25,19:41,20:00,20:12,20:24,20:36,20:56,21:08,21:20,21:32,21:42,21:50
1682,----5-7,19:35,19:48,20:08,--:--,--:--,20:32,--:--,20:57,21:11,21:25,21:36,21:45
1328,------7,19:45,19:58,20:19,20:31,20:41,20:53,--:--,--:--,21:27,--:--,21:47,21:55
0156,1234567,19:55,--:--,--:--,--:--,--:--,20:39,--:--,--:--,--:--,21:21,21:31,21:40
